Date,cumulative_return
2021-09-29,2.390457557022472
2021-09-30,2.409838071141546
2021-10-01,2.41293056323953
2021-10-04,2.303674997804228
2021-10-05,2.381768655679015
2021-10-06,2.4092974186468012
2021-10-07,2.4519659189986447
2021-10-08,2.4241870967664925
2021-10-11,2.411101572940587
2021-10-12,2.408407348773704
2021-10-13,2.437139173806213
2021-10-14,2.5263186446230277
2021-10-15,2.541855698033528
2021-10-18,2.5846394107918567
2021-10-19,2.5933810499245076
2021-10-20,2.5738808402066184
2021-10-21,2.639849511746896
2021-10-22,2.64515183063312
2021-10-25,2.704590730910848
2021-10-26,2.8692753796737525
2021-10-27,2.842386092556154
2021-10-28,2.9020062094239223
2021-10-29,2.969866111750571
2021-11-01,3.0061958246802223
2021-11-02,3.0641846772315415
2021-11-03,3.0910608110765527
2021-11-04,3.430584210321836
2021-11-05,3.424877577242272
2021-11-08,3.5275701261664834
2021-11-09,3.497159999559707
2021-11-10,3.374961720142502
2021-11-11,3.4713501621210483
2021-11-12,3.4701252718134703
2021-11-15,3.430133926611176
2021-11-16,3.454360984343704
2021-11-17,3.3637163807661024
2021-11-18,3.6227629072741117
2021-11-19,3.767451037555754
2021-11-22,3.663461616432443
2021-11-23,3.636182683716733
2021-11-24,3.7335854941135564
2021-11-26,3.6014239031638176
2021-11-29,3.808173453575734
2021-11-30,3.7426388650830837
2021-12-01,3.6064959822435316
2021-12-02,3.6760966542558524
2021-12-03,3.5148373065751097
2021-12-06,3.4501535904617926
2021-12-07,3.711913536856944
2021-12-08,3.6560672329692427
2021-12-09,3.5068327229941287
2021-12-10,3.4832806056644787
2021-12-13,3.2587353377354225
2021-12-14,3.2753307292511753
2021-12-15,3.5054531464237906
2021-12-16,3.27476541193929
2021-12-17,3.2124919106268854
2021-12-20,3.1984173461286973
2021-12-21,3.34966373101006
2021-12-22,3.3954991888422272
2021-12-23,3.428887405674019
2021-12-27,3.5742073504512373
2021-12-28,3.5062320971080507
2021-12-29,3.4723537294134124
2021-12-30,3.4260372600036155
2021-12-31,3.404776226222031
2022-01-03,3.501674548331906
2022-01-04,3.405926785547459
2022-01-05,3.2153902982469846
2022-01-06,3.2714879799228225
2022-01-07,3.1689131245757625
2022-01-10,3.1885082715354884
2022-01-11,3.236468555946319
2022-01-12,3.2608452142347315
2022-01-13,3.0986647720897804
2022-01-14,3.1397660598451913
2022-01-18,3.0241907891941975
2022-01-19,2.9287775513017005
2022-01-20,2.8294569973985837
2022-01-21,2.738697616831675
2022-01-24,2.7364657495527935
2022-01-25,2.621635006724967
2022-01-26,2.671761510723547
2022-01-27,2.570838266036775
2022-01-28,2.678087425535927
2022-01-31,2.868781626263758
2022-02-01,2.8839911150279782
2022-02-02,2.9459146185452156
2022-02-03,2.8045146710467797
2022-02-04,2.8474219191722128
2022-02-07,2.8886102147789385
2022-02-08,2.9335408574236155
2022-02-09,3.1061728409592466
2022-02-10,3.0046819577121275
2022-02-11,2.7977846835590783
2022-02-14,2.8339873393750534
2022-02-15,3.0801977945838925
2022-02-16,3.0811598604606427
2022-02-17,2.860163110885683
2022-02-18,2.763942214672983
